word,definition
Define the word: encomic,having closely curled hair
Define the word: encomium,glowing and warmly enthusiastic praise
Define the word: encraty,self-control
Define the word: encyclical,letter sent by the pope to multiple bishops
Define the word: endarchy,centralised government
Define the word: endeictic,showing exhibiting or demonstrating
Define the word: endeixis,an indication
Define the word: endemiology,study of local diseases
Define the word: endlong,lengthwise
Define the word: endocrinology,study of glands
Define the word: endogenous,having no external cause
Define the word: endophagy,cannibalism within a tribe; eating away from within
Define the word: endoscope,instrument for visualizing interior of a hollow organ
Define the word: endosmometer,instrument for measuring osmosis into a solution
Define the word: endysis,growth of new feathers hair or skin
Define the word: energism,theory that the highest good is contented thought rather than pursuit of pleasure
Define the word: energumen,individual inhabited by an evil spirit
Define the word: enervate,to weaken
Define the word: enfilade,series arranged as if threaded on a string
Define the word: engastration,stuffing of one bird inside another
Define the word: engastrimyth,ventriloquist
Define the word: engouement,excessive infatuation
Define the word: engrailment,ring of dots around edge of a coin
Define the word: engram,lasting effect on memory
Define the word: engrenage,series of decisions leading towards unspoken goal
Define the word: enigmatography,composition of riddles or enigmas
Define the word: enigmatology,study of enigmas
Define the word: enjambment,continuation of the sense of a verse without pause
Define the word: enjoin,to command; to order; to prohibit by injunction
Define the word: ennead,any group of nine objects
Define the word: enneagon,polygon with nine sides
Define the word: ennomic,lawful; legal
Define the word: enoptromancy,divination using mirrors
Define the word: enosimania,pathological belief that one has sinned
Define the word: enosis,union; unification
Define the word: enounce,to enunciate; to proclaim
Define the word: enow,enough
Define the word: ensanguine,to cover with blood
Define the word: ensiform,resembling or possessing characteristics of a sword
Define the word: ensign,large naval flag
Define the word: ensilage,storage of green fodder in silos
Define the word: entablature,wall that rests on top of columns
Define the word: entasis,swelling on vertical columns to counteract optical illusion of concavity
Define the word: entelechy,perfect realization of ultimate goal or reason for existence
Define the word: entellus,small Indian monkey
Define the word: enteral,of pertaining to or within the intestine
Define the word: enthalpy,heat per unit mass
Define the word: entheomania,abnormal belief that one is divinely inspired
Define the word: enthetic,introduced from outside the body
Define the word: enthymeme,rhetorical suppression or omission of a premise
Define the word: entify,to treat as or cause to become a separate entity
Define the word: entitative,regarded as a distinct entity without regard to context
Define the word: entomical,of like or pertaining to insects
Define the word: entomology,study of insects
Define the word: entomophagous,eating insects
Define the word: entomophilous,adapted for pollination by insects
Define the word: entoptic,within the eyeball; visibility of objects in the eye
Define the word: entozoology,study of parasites that live inside larger organisms
Define the word: entremets,edible pastry sculpture served between main courses
Define the word: entrepot,a warehouse particularly for international trade
Define the word: entresol,mezzanine
Define the word: entropion,inversion of the edge of the eyelid
Define the word: entryism,doctrine of joining a group to change its policies
Define the word: enuresis,uncontrollable urination
Define the word: environ,around; about; in the vicinity of
Define the word: enzone,to engirdle or surround with a zone or belt
Define the word: enzymology,study of enzymes
Define the word: eoan,of like or pertaining to dawn
Define the word: eolation,geological effects of the wind
Define the word: éolienne,fine silk and wool
Define the word: eolith,stone naturally formed but thought to be manufactured
Define the word: eonism,adoption by a male of female dress and manner
Define the word: eosophobia,fear of dawn
Define the word: eozoic,containing early evidence of animals
Define the word: epact,excess of the calendar month over the lunar month
Define the word: epaenetic,eulogistic
Define the word: epagoge,induction
Define the word: epagomenal,intercalary; inserted between others
Define the word: epanadiplosis,sentence which begins and ends with same word
Define the word: epanalepsis,repetition
Define the word: epanaphora,repetition of same word at beginning of multiple phrases or sentences
Define the word: epanastrophe,device where end of one sentence is repeated as beginning of next
Define the word: epanodos,recapitulation of chief points in a discourse after digression
Define the word: epanorthosis,retraction of statement in order to intensify it
Define the word: eparchy,diocese of an Eastern church
Define the word: epaulet,shoulder-plate of a suit of armour
Define the word: epedaphic,of like or pertaining to atmospheric conditions
Define the word: epeirogenesis,building continents by moving of earth's crust
Define the word: epenthesis,insertion of extra sound into a word
Define the word: epeolatry,worship of words
Define the word: epergne,branched ornamental centrepiece
Define the word: epexegesis,addition of words to make the sense more clear
Define the word: ephebiatrics,branch of medicine dealing with adolescence
Define the word: ephectic,tending to reserve judgement
Define the word: ephelis,freckle or mole
Define the word: ephemeris,table giving location of celestial body at different specific times
